# ro  gplus  gcross  err  errcov  mu
   2.646e-02     0.000e+00     1.005e-02     1.360e-02     2.500e-02     6.291e+03
   4.374e-02     0.000e+00    -4.700e-03     8.639e-03     1.584e-02     1.567e+04
   7.228e-02     0.000e+00    -2.257e-03     5.296e-03     9.565e-03     4.174e+04
   1.195e-01     0.000e+00    -3.275e-03     3.188e-03     5.738e-03     1.151e+05
   1.974e-01     0.000e+00     1.381e-03     1.906e-03     3.338e-03     3.219e+05
   3.263e-01     0.000e+00     5.070e-04     1.157e-03     2.055e-03     8.729e+05
   5.392e-01     0.000e+00    -6.845e-04     7.208e-04     1.261e-03     2.253e+06
   8.911e-01     0.000e+00     3.401e-04     4.691e-04     9.159e-04     5.320e+06
   1.473e+00     0.000e+00    -2.551e-04     3.504e-04     1.318e-03     9.540e+06
   2.434e+00     0.000e+00    -2.534e-03     3.919e-04     2.344e-03     7.635e+06
   4.022e+00     0.000e+00    -3.242e-03     1.473e-03     5.454e-03     5.411e+05
