# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -3.242e-02     2.830e-02     4.931e-02     8.750e-02     5.010e+02
   4.374e-02    -4.239e-02    -3.206e-02     3.297e-02     5.833e-02     1.103e+03
   7.228e-02    -1.289e-02    -1.477e-02     1.892e-02     3.350e-02     3.390e+03
   1.195e-01    -1.165e-02     4.559e-03     1.143e-02     1.989e-02     9.249e+03
   1.974e-01     4.155e-05    -7.182e-03     6.908e-03     1.242e-02     2.532e+04
   3.263e-01     9.229e-03     6.837e-03     4.262e-03     7.641e-03     6.652e+04
   5.392e-01     4.262e-03    -6.547e-05     2.603e-03     4.722e-03     1.784e+05
   8.911e-01     2.454e-03     4.405e-04     1.577e-03     2.670e-03     4.860e+05
   1.473e+00     7.118e-03     1.298e-03     1.024e-03     2.919e-03     1.154e+06
   2.434e+00     6.757e-03     1.877e-03     9.146e-04     3.869e-03     1.449e+06
   4.022e+00     7.873e-03     9.886e-04     2.532e-03     7.729e-03     1.894e+05
