# ro  gplus  gcross  err  errcov  mu
   2.646e-02     0.000e+00    -1.675e-02     2.207e-02     3.789e-02     2.572e+03
   4.374e-02     0.000e+00    -1.456e-02     1.379e-02     2.394e-02     6.549e+03
   7.228e-02     0.000e+00    -7.172e-03     8.263e-03     1.408e-02     1.832e+04
   1.195e-01     0.000e+00     2.478e-03     4.982e-03     8.446e-03     5.023e+04
   1.974e-01     0.000e+00     2.588e-03     3.098e-03     5.518e-03     1.301e+05
   3.263e-01     0.000e+00     2.494e-04     1.890e-03     3.373e-03     3.490e+05
   5.392e-01     0.000e+00    -1.559e-03     1.192e-03     2.417e-03     8.774e+05
   8.911e-01     0.000e+00    -5.251e-04     7.738e-04     1.773e-03     2.082e+06
   1.473e+00     0.000e+00     1.785e-03     5.818e-04     1.898e-03     3.686e+06
   2.434e+00     0.000e+00     3.094e-03     6.901e-04     3.579e-03     2.622e+06
   4.022e+00     0.000e+00     4.153e-03     5.532e-03     1.410e-02     4.094e+04
