# ro  gplus  gcross  err  errcov  mu
   2.646e-02     0.000e+00     2.587e-02     3.272e-02     5.894e-02     1.110e+03
   4.374e-02     0.000e+00    -1.677e-03     2.165e-02     3.979e-02     2.549e+03
   7.228e-02     0.000e+00    -2.667e-02     1.218e-02     2.334e-02     7.967e+03
   1.195e-01     0.000e+00    -7.587e-03     7.637e-03     1.458e-02     2.036e+04
   1.974e-01     0.000e+00     1.133e-03     4.555e-03     8.478e-03     5.730e+04
   3.263e-01     0.000e+00    -4.153e-03     2.774e-03     5.612e-03     1.542e+05
   5.392e-01     0.000e+00    -1.017e-04     1.646e-03     3.528e-03     4.378e+05
   8.911e-01     0.000e+00     2.681e-04     9.929e-04     3.155e-03     1.204e+06
   1.473e+00     0.000e+00     6.562e-04     7.192e-04     3.544e-03     2.293e+06
   2.434e+00     0.000e+00     1.775e-03     1.085e-03     5.435e-03     1.008e+06
   4.022e+00           nan           nan           nan           nan     0.000e+00
