# ro  gplus  gcross  err  errcov  mu
   2.646e-02     3.262e-02     1.409e-02     3.404e-02     6.036e-02     1.013e+03
   4.374e-02    -5.955e-03    -2.120e-02     2.048e-02     3.696e-02     2.781e+03
   7.228e-02    -1.261e-02    -7.335e-03     1.293e-02     2.272e-02     6.987e+03
   1.195e-01    -4.720e-03    -2.787e-03     7.739e-03     1.363e-02     1.952e+04
   1.974e-01    -3.454e-04     4.896e-03     4.723e-03     8.296e-03     5.252e+04
   3.263e-01    -7.760e-04     5.291e-03     2.854e-03     4.993e-03     1.439e+05
   5.392e-01    -4.688e-04    -2.052e-03     1.737e-03     3.426e-03     3.886e+05
   8.911e-01     3.046e-03     1.418e-03     1.080e-03     2.628e-03     1.004e+06
   1.473e+00     9.043e-03     2.568e-03     7.379e-04     2.578e-03     2.155e+06
   2.434e+00     1.270e-02     5.366e-04     6.744e-04     3.470e-03     2.586e+06
   4.022e+00     8.092e-03     2.031e-03     1.721e-03     6.123e-03     3.971e+05
