# m  n  i  j   cov_mnij  corr_mnij  icov_mnij  I_mnij  mu_mnij
  7.000    7.000    0.246    0.090  -1.913e+00  -1.528e-02   1.213e-04  -8.520e-19   7.470e-01
  7.000    7.000    0.246    0.149  -1.224e+00  -1.588e-02   2.213e-04  -2.461e-18   7.473e-01
  7.000    7.000    0.246    0.246   4.687e+01   1.000e+00   2.146e-02   1.000e+00   7.461e-01
  7.000    7.000    0.246    0.407   5.313e-01   1.745e-02  -1.855e-04   4.210e-18   7.471e-01
  7.000    7.000    0.246    0.672   1.639e+00   6.964e-02  -3.078e-03  -1.223e-17   7.470e-01
  7.000    7.000    0.246    1.110   6.198e-01   2.222e-02   4.011e-04  -6.854e-18   7.461e-01
  7.000    7.000    0.246    1.835   1.059e+00   2.446e-02   3.382e-05   1.475e-18   7.440e-01
  7.000    7.000    0.246    3.033   1.907e+00   2.112e-02  -1.556e-04   3.027e-19   7.499e-01
  7.000    7.000    0.407    0.020   2.789e-01   7.734e-04  -2.303e-06  -1.788e-20   7.454e-01
  7.000    7.000    0.407    0.033  -2.698e-01  -1.222e-03   4.804e-06   3.762e-20   7.456e-01
  7.000    7.000    0.407    0.054  -1.553e-02  -1.161e-04   7.137e-06   8.827e-21   7.476e-01
  7.000    7.000    0.407    0.090  -4.414e-03  -5.427e-05   1.099e-05  -1.077e-20   7.475e-01
  7.000    7.000    0.407    0.149   5.466e-01   1.092e-02  -1.616e-04   5.478e-19   7.474e-01
  7.000    7.000    0.407    0.246   5.313e-01   1.745e-02  -1.855e-04  -1.565e-18   7.471e-01
  7.000    7.000    0.407    0.407   1.978e+01   1.000e+00   5.233e-02   1.000e+00   7.465e-01
  7.000    7.000    0.407    0.672   2.696e+00   1.764e-01  -1.026e-02  -4.161e-17   7.468e-01
  7.000    7.000    0.407    1.110   2.127e+00   1.174e-01  -2.280e-03  -1.852e-17   7.461e-01
  7.000    7.000    0.407    1.835   2.954e+00   1.050e-01  -6.344e-04   1.743e-17   7.445e-01
  7.000    7.000    0.407    3.033   3.244e+00   5.532e-02  -1.978e-04  -2.804e-18   7.497e-01
  7.000    7.000    0.672    0.020   5.701e-02   2.046e-04  -1.597e-06   5.099e-21   7.465e-01
  7.000    7.000    0.672    0.033  -9.889e-02  -5.798e-04  -2.743e-06   1.195e-20   7.450e-01
  7.000    7.000    0.672    0.054   4.654e-01   4.502e-03  -5.008e-05   9.714e-20   7.476e-01
  7.000    7.000    0.672    0.090   2.395e-01   3.811e-03  -7.480e-05  -2.062e-19   7.474e-01
  7.000    7.000    0.672    0.149   7.709e-01   1.993e-02  -5.927e-04   3.002e-20   7.473e-01
  7.000    7.000    0.672    0.246   1.639e+00   6.964e-02  -3.078e-03  -9.349e-18   7.470e-01
  7.000    7.000    0.672    0.407   2.696e+00   1.764e-01  -1.026e-02  -2.162e-17   7.468e-01
  7.000    7.000    0.672    0.672   1.181e+01   1.000e+00   1.058e-01   1.000e+00   7.458e-01
  7.000    7.000    0.672    1.110   5.752e+00   4.108e-01  -2.648e-02   6.456e-17   7.453e-01
  7.000    7.000    0.672    1.835   7.806e+00   3.592e-01  -8.750e-03   3.055e-17   7.435e-01
  7.000    7.000    0.672    3.033   6.950e+00   1.533e-01   5.907e-04  -8.467e-19   7.487e-01
  7.000    7.000    1.110    0.020  -3.804e-01  -1.152e-03   9.261e-06  -1.845e-20   7.456e-01
  7.000    7.000    1.110    0.033  -4.615e-01  -2.283e-03   1.337e-05   7.169e-20   7.431e-01
  7.000    7.000    1.110    0.054   9.494e-02   7.749e-04   2.370e-05   6.217e-20   7.459e-01
  7.000    7.000    1.110    0.090   7.932e-03   1.065e-04   5.820e-05  -9.390e-20   7.457e-01
  7.000    7.000    1.110    0.149   9.363e-03   2.042e-04   3.435e-04  -1.668e-19   7.464e-01
  7.000    7.000    1.110    0.246   6.198e-01   2.222e-02   4.011e-04   1.593e-18   7.461e-01
  7.000    7.000    1.110    0.407   2.127e+00   1.174e-01  -2.280e-03  -1.795e-17   7.461e-01
  7.000    7.000    1.110    0.672   5.752e+00   4.108e-01  -2.648e-02  -1.422e-16   7.453e-01
  7.000    7.000    1.110    1.110   1.660e+01   1.000e+00   1.219e-01   1.000e+00   7.440e-01
  7.000    7.000    1.110    1.835   1.766e+01   6.856e-01  -5.166e-02  -1.518e-16   7.419e-01
  7.000    7.000    1.110    3.033   1.582e+01   2.945e-01   2.873e-03  -9.072e-18   7.463e-01
  7.000    7.000    1.835    0.020   1.873e-01   3.654e-04  -5.891e-06  -3.345e-21   7.428e-01
  7.000    7.000    1.835    0.033  -3.951e-01  -1.259e-03  -1.093e-06   1.207e-20   7.402e-01
  7.000    7.000    1.835    0.054   4.213e-01   2.216e-03  -1.640e-05   1.196e-19   7.437e-01
  7.000    7.000    1.835    0.090   3.349e-01   2.897e-03  -3.090e-05  -3.306e-19   7.427e-01
  7.000    7.000    1.835    0.149   5.027e-01   7.066e-03  -9.360e-05  -6.857e-19   7.439e-01
  7.000    7.000    1.835    0.246   1.059e+00   2.446e-02   3.382e-05  -9.332e-19   7.440e-01
  7.000    7.000    1.835    0.407   2.954e+00   1.050e-01  -6.344e-04  -2.380e-17   7.445e-01
  7.000    7.000    1.835    0.672   7.806e+00   3.592e-01  -8.750e-03  -4.962e-17   7.435e-01
  7.000    7.000    1.835    1.110   1.766e+01   6.856e-01  -5.166e-02   3.271e-17   7.419e-01
