# field id x y dummy mag r_eff meansurfb sersicn (g-r)
    CFHTLSD1   23949    15497.933     5821.328 -99.0000   22.120    1.960   25.189    2.288    0.620
    CFHTLSD1   23967    15527.067     5843.148 -99.0000   22.130    1.518   24.644    2.382    0.607
    CFHTLSD1   24512     7414.268     5935.604 -99.0000   22.330    2.354   25.797    3.945    1.284
    CFHTLSD1   24669     5650.447     5995.019 -99.0000   21.600    1.721   24.387    1.074    0.564
    CFHTLSD1   26250     6494.575     6328.902 -99.0000   21.570    2.295   24.982    2.873    0.549
    CFHTLSD1   26280     5611.676     6352.115 -99.0000   21.340    2.223   24.683    0.924    0.614
    CFHTLSD1   26704     4949.998     6383.001 -99.0000   22.820    2.032   25.967    1.327    0.460
    CFHTLSD1   26772    17949.844     6436.109 -99.0000   21.350    2.091   24.560    1.185    1.146
    CFHTLSD1   27146     9670.007     6474.759 -99.0000   23.050    1.996   26.159    0.500    0.052
    CFHTLSD1   27327     7042.881     6518.752 -99.0000   23.010    1.601   25.641    1.595    0.761
    CFHTLSD1   27642    17917.893     6626.169 -99.0000   22.090    1.685   24.831    1.620    0.690
    CFHTLSD1   28138    17917.348     6701.314 -99.0000   22.540    1.781   25.401    0.745    0.233
    CFHTLSD1   28592    18558.336     6809.933 -99.0000   22.160    1.506   24.657    0.812    0.197
    CFHTLSD1   28627    15693.646     6850.315 -99.0000   21.600    2.414   25.122    1.095    0.556
    CFHTLSD1   28843    17710.016     6906.888 -99.0000   20.850    2.199   24.169    1.249    0.916
    CFHTLSD1   30256    18435.025     7166.654 -99.0000   22.950    1.757   25.782    1.121    0.689
    CFHTLSD1   31007    11455.688     7363.355 -99.0000   21.630    2.366   25.108    2.297    0.393
    CFHTLSD1   31567     8886.179     7459.697 -99.0000   22.880    1.589   25.494    2.867    0.629
    CFHTLSD1   31652     8665.716     7482.576 -99.0000   22.270    2.928   26.211    3.578    0.266
    CFHTLSD1   32755     6607.063     7746.073 -99.0000   22.510    1.972   25.593    1.198    0.592
    CFHTLSD1   33183    15179.307     7825.669 -99.0000   23.390    1.697   26.147    1.800    3.076
    CFHTLSD1   33463      901.421     7958.888 -99.0000   21.130    2.235   24.484    1.942    0.254
    CFHTLSD1   33707     9781.960     7992.296 -99.0000   21.590    1.554   24.155    1.297    0.431
    CFHTLSD1   33844    12911.343     8008.909 -99.0000   22.720    1.733   25.522    0.801    0.874
    CFHTLSD1   34203    11450.102     8065.569 -99.0000   23.320    1.852   26.267    2.712    0.361
    CFHTLSD1   34823    19416.039     8272.825 -99.0000   21.210    1.936   24.253    1.768    0.569
    CFHTLSD1   35372    19236.555     8382.699 -99.0000   21.570    1.542   24.118    0.732    0.749
    CFHTLSD1   35846     9400.548     8483.443 -99.0000   21.950    2.271   25.339    1.832    0.460
    CFHTLSD1   36466     9266.750     8625.876 -99.0000   22.030    1.637   24.709    1.631    0.417
    CFHTLSD1   36938     7226.023     8735.514 -99.0000   22.240    1.673   24.966    0.829    0.652
    CFHTLSD1   37149     7347.607     8787.400 -99.0000   21.590    1.601   24.221    2.080    0.544
    CFHTLSD1   37279     8501.135     8812.350 -99.0000   21.130    1.828   24.048    1.293    0.355
    CFHTLSD1   37334    11368.534     8813.763 -99.0000   22.110    1.566   24.691    0.709    0.169
    CFHTLSD1   37995     8474.418     9027.015 -99.0000   21.200    3.490   25.522    1.707    0.623
    CFHTLSD1   38812     3347.597     9225.169 -99.0000   21.510    2.211   24.841    0.867    0.615
    CFHTLSD1   39052    14884.951     9231.657 -99.0000   22.120    1.577   24.718    0.642    0.420
    CFHTLSD1   39520     2639.709     9286.446 -99.0000   23.130    1.733   25.932    0.500    1.254
    CFHTLSD1   41231     7970.541     9708.456 -99.0000   22.030    1.625   24.693    0.676    0.591
    CFHTLSD1   41276    15707.378     9733.126 -99.0000   21.920    1.589   24.534    0.500    0.839
    CFHTLSD1   41467    17181.637     9807.866 -99.0000   20.850    2.139   24.109    0.801    0.320
    CFHTLSD1   43073     1211.148    10090.258 -99.0000   21.930    2.737   25.724    3.368    0.239
    CFHTLSD1   43886     4850.702    10264.487 -99.0000   22.240    1.518   24.754    1.383    1.706
    CFHTLSD1   44063     4622.426    10306.376 -99.0000   21.300    1.661   24.010    3.307    0.502
    CFHTLSD1   44168    11414.872    10309.929 -99.0000   22.580    1.506   25.077    0.500    0.442
    CFHTLSD1   44309    19658.400    10308.145 -99.0000   22.900    2.438   26.443    3.172    0.753
    CFHTLSD1   44395    11564.823    10337.539 -99.0000   22.550    2.534   26.177    3.944    0.306
    CFHTLSD1   44534    18885.938    10364.253 -99.0000   22.470    2.808   26.320    1.656    1.510
    CFHTLSD1   44636    11057.259    10420.761 -99.0000   22.810    1.613   25.457    0.897    0.187
    CFHTLSD1   45175    14233.242    10513.617 -99.0000   21.780    2.354   25.247    3.362    0.704
    CFHTLSD1   45761    19209.232    10723.356 -99.0000   21.580    1.518   24.094    0.748    0.787
    CFHTLSD1   46338      776.141    10753.321 -99.0000   21.890    1.589   24.504    2.321    1.194
    CFHTLSD1   46786     2029.200    10888.684 -99.0000   20.640    2.259   24.017    2.553    0.441
    CFHTLSD1   47011     5154.071    10893.750 -99.0000   22.190    1.900   25.192    1.887    0.676
    CFHTLSD1   47221     5472.525    10912.834 -99.0000   23.320    1.577   25.918    2.623    0.049
    CFHTLSD1   47464     2869.762    10978.766 -99.0000   23.020    1.566   25.601    0.500    0.163
    CFHTLSD1   48039     9869.484    11136.664 -99.0000   21.920    1.852   24.867    0.882    0.214
