# ro  gplus  gcross  err  errcov  mu
   2.646e-02     1.195e-02     2.552e-02     2.777e-02     4.958e-02     1.487e+03
   4.374e-02     2.104e-02     7.975e-03     1.671e-02     2.969e-02     4.143e+03
   7.228e-02     1.583e-03    -1.956e-03     1.015e-02     1.818e-02     1.117e+04
   1.195e-01     2.712e-03    -3.131e-03     6.083e-03     1.076e-02     3.108e+04
   1.974e-01     4.300e-03    -3.853e-04     3.764e-03     6.714e-03     8.136e+04
   3.263e-01    -7.745e-04     1.304e-03     2.277e-03     4.025e-03     2.221e+05
   5.392e-01    -2.202e-05     5.045e-04     1.389e-03     2.664e-03     5.976e+05
   8.911e-01     8.633e-04    -2.159e-04     8.708e-04     1.638e-03     1.521e+06
   1.473e+00     2.970e-03     8.876e-04     5.751e-04     1.372e-03     3.490e+06
   2.434e+00     9.847e-03     1.494e-03     4.566e-04     2.247e-03     5.544e+06
   4.022e+00     1.179e-02     1.676e-05     6.938e-04     4.024e-03     2.404e+06
