# ro  gplus  gcross  err  errcov  mu
   2.646e-02     0.000e+00     1.226e-02     1.325e-02     2.353e-02     6.749e+03
   4.374e-02     0.000e+00     6.127e-03     8.073e-03     1.447e-02     1.823e+04
   7.228e-02     0.000e+00     3.602e-06     5.007e-03     8.781e-03     4.726e+04
   1.195e-01     0.000e+00     7.986e-04     2.968e-03     5.404e-03     1.347e+05
   1.974e-01     0.000e+00     1.453e-03     1.816e-03     3.347e-03     3.593e+05
   3.263e-01     0.000e+00     1.401e-03     1.122e-03     2.054e-03     9.417e+05
   5.392e-01     0.000e+00     9.379e-04     7.035e-04     1.394e-03     2.394e+06
   8.911e-01     0.000e+00     1.601e-03     4.576e-04     1.108e-03     5.664e+06
   1.473e+00     0.000e+00     6.273e-04     3.347e-04     1.293e-03     1.059e+07
   2.434e+00     0.000e+00     3.449e-04     3.453e-04     2.751e-03     9.975e+06
   4.022e+00     0.000e+00     1.382e-03     1.590e-03     7.060e-03     4.709e+05
