# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -5.409e-02     4.061e-02     5.011e-02     8.357e-02     5.119e+02
   4.374e-02    -5.761e-03     4.635e-03     2.927e-02     4.804e-02     1.520e+03
   7.228e-02     2.027e-02     4.908e-03     1.693e-02     2.799e-02     4.454e+03
   1.195e-01    -6.517e-03     1.208e-02     1.024e-02     1.744e-02     1.224e+04
   1.974e-01     9.057e-03     2.302e-03     6.214e-03     1.021e-02     3.311e+04
   3.263e-01     2.766e-03     4.615e-03     3.780e-03     6.310e-03     8.938e+04
   5.392e-01     3.360e-03     1.217e-03     2.315e-03     4.086e-03     2.388e+05
   8.911e-01     5.136e-03    -2.362e-04     1.451e-03     2.734e-03     6.081e+05
   1.473e+00     4.783e-03     1.349e-03     9.589e-04     2.710e-03     1.392e+06
   2.434e+00     7.406e-03     2.139e-03     8.065e-04     4.036e-03     1.964e+06
   4.022e+00     5.987e-03     3.705e-03     1.594e-03     6.497e-03     5.027e+05
