# ro  gplus  gcross  err  errcov  mu
   2.646e-02     0.000e+00    -8.165e-03     2.643e-02     4.554e-02     1.721e+03
   4.374e-02     0.000e+00    -1.218e-02     1.434e-02     2.542e-02     5.742e+03
   7.228e-02     0.000e+00    -3.050e-03     9.158e-03     1.590e-02     1.416e+04
   1.195e-01     0.000e+00     5.958e-03     5.509e-03     9.707e-03     3.910e+04
   1.974e-01     0.000e+00    -1.856e-03     3.333e-03     5.706e-03     1.068e+05
   3.263e-01     0.000e+00     2.071e-03     2.044e-03     3.516e-03     2.848e+05
   5.392e-01     0.000e+00    -3.410e-04     1.243e-03     2.112e-03     7.704e+05
   8.911e-01     0.000e+00     9.843e-04     7.821e-04     2.278e-03     1.945e+06
   1.473e+00     0.000e+00     2.299e-03     5.845e-04     3.107e-03     3.484e+06
   2.434e+00     0.000e+00     2.646e-03     9.356e-04     4.696e-03     1.362e+06
   4.022e+00           nan           nan           nan           nan     0.000e+00
