# ro  gplus  gcross  err  errcov  mu
   2.646e-02     1.129e-02    -8.435e-02     5.475e-02     9.803e-02     3.944e+02
   4.374e-02    -8.607e-03    -4.641e-02     2.842e-02     4.988e-02     1.469e+03
   7.228e-02     1.484e-02     3.616e-03     1.922e-02     3.402e-02     3.200e+03
   1.195e-01    -9.040e-03     6.657e-03     1.095e-02     1.922e-02     9.751e+03
   1.974e-01     4.306e-03    -1.036e-02     6.750e-03     1.203e-02     2.568e+04
   3.263e-01    -1.959e-03     6.738e-03     3.977e-03     6.948e-03     7.397e+04
   5.392e-01     1.059e-03     2.121e-03     2.442e-03     4.048e-03     1.964e+05
   8.911e-01    -3.159e-04    -5.658e-04     1.488e-03     2.604e-03     5.284e+05
   1.473e+00     3.367e-03     4.798e-04     9.850e-04     2.852e-03     1.207e+06
   2.434e+00     3.973e-03    -4.416e-04     9.747e-04     3.986e-03     1.236e+06
   4.022e+00     7.457e-03    -2.974e-03     5.555e-03     1.125e-02     3.817e+04
