# ro  gplus  gcross  err  errcov  mu
   2.646e-02     0.000e+00    -7.094e-02     3.838e-02     6.622e-02     8.362e+02
   4.374e-02     0.000e+00     2.796e-02     2.206e-02     3.797e-02     2.525e+03
   7.228e-02     0.000e+00    -2.020e-02     1.397e-02     2.413e-02     6.281e+03
   1.195e-01     0.000e+00     5.207e-03     8.663e-03     1.465e-02     1.633e+04
   1.974e-01     0.000e+00     2.487e-03     5.191e-03     8.739e-03     4.556e+04
   3.263e-01     0.000e+00    -2.320e-03     3.173e-03     5.367e-03     1.217e+05
   5.392e-01     0.000e+00     1.992e-03     1.979e-03     3.488e-03     3.134e+05
   8.911e-01     0.000e+00     8.163e-04     1.266e-03     2.402e-03     7.659e+05
   1.473e+00     0.000e+00    -5.599e-04     8.561e-04     2.003e-03     1.676e+06
   2.434e+00     0.000e+00    -1.531e-03     7.687e-04     2.738e-03     2.081e+06
   4.022e+00     0.000e+00    -5.123e-03     1.550e-03     4.919e-03     5.119e+05
