# ro  gplus  gcross  err  errcov  mu
   2.646e-02     0.000e+00    -1.024e-02     1.564e-02     2.739e-02     4.878e+03
   4.374e-02     0.000e+00    -1.715e-02     9.540e-03     1.670e-02     1.308e+04
   7.228e-02     0.000e+00     2.794e-03     5.863e-03     1.045e-02     3.450e+04
   1.195e-01     0.000e+00     8.295e-04     3.551e-03     6.385e-03     9.394e+04
   1.974e-01     0.000e+00     2.052e-03     2.168e-03     3.878e-03     2.524e+05
   3.263e-01     0.000e+00     5.449e-04     1.339e-03     2.320e-03     6.617e+05
   5.392e-01     0.000e+00     9.990e-04     8.277e-04     1.464e-03     1.732e+06
   8.911e-01     0.000e+00     1.841e-03     5.351e-04     1.308e-03     4.146e+06
   1.473e+00     0.000e+00     6.169e-04     4.052e-04     1.904e-03     7.233e+06
   2.434e+00     0.000e+00     1.472e-03     4.995e-04     3.154e-03     4.766e+06
   4.022e+00     0.000e+00     1.172e-03     2.936e-03     7.470e-03     1.384e+05
